phi,a_1,a_2,a_3,a_4
1.721420632104,1.93624099270975,1.945871114396,1.34973782516679,1.14084014647905
1.73371649376188,1.82282642105722,1.83639677385275,1.28447611234914,1.04246742759618
1.74601235541977,1.70861656276275,1.72598048383705,1.21931903551837,0.94618140646629
1.75830821707765,1.594349783334,1.6153488911515,1.15450735703962,0.852419646466442
1.77060407873554,1.48076973436484,1.5052358310665,1.09027424980817,0.761591525701495
1.78289994039342,1.36861809964936,1.3963751935079,1.026843805699,0.67407551847727
1.79519580205131,1.25862724685306,1.28949366747368,0.9644296410906,0.590216779006915
1.8074916637092,1.15151287472472,1.18530345222848,0.903233611671962,0.510325048072902
1.81978752536708,1.04796674703842,1.08449502544811,0.843444647481201,0.434672900052198
1.83208338702497,0.948649604413981,0.987730058878786,0.785237717748087,0.36349434421246
1.84437924868285,0.854184343867418,0.895634571221989,0.728772933638858,0.296983790540658
1.85667511034074,0.765149553397809,0.808792405856422,0.674194795447993,0.235295386612266
1.86897097199862,0.682073485150978,0.727739117684561,0.621631589167831,0.178542728190665
1.88126683365651,0.60542854575693,0.652956348879313,0.571194935712893,0.126798942404782
1.8935626953144,0.535626376379212,0.584866767662217,0.52297949440201,0.0800971385313218
1.90585855697228,0.473013587917477,0.523829637539354,0.477062820628232,0.0384312176487079
1.91815441863017,0.417868208763431,0.470137076742649,0.433505375994547,0.00175702877542214
1.93045028028805,0.370396893631517,0.424011059073861,0.392350687582309,-0.030006144403248
1.94274614194594,0.33073293238952,0.385601198041404,0.353625651468463,-0.0569737854393672
1.95504200360382,0.298935087630954,0.354983346242423,0.317340974135261,-0.0792940579772774
1.96733786526171,0.274987279100471,0.332159031510177,0.283491744039315,-0.0971454547219679
1.9796337269196,0.258799122152075,0.317055740563461,0.252058124341405,-0.110734210236647
1.99192958857748,0.250207316339158,0.309528049909695,0.223006156658373,-0.120291507519968
2.00422545023537,0.248977869159551,0.309359592719352,0.196288664696243,-0.126070510204721
2.01652131189325,0.254809129062537,0.316265839460531,0.171846245769814,-0.128343253746827
2.02881717355114,0.267335591221023,0.329897659411872,0.149608337516856,-0.127397430119622
2.04111303520902,0.286132429429848,0.349845619909644,0.129494346580967,-0.123533101281374
2.05340889686691,0.310720697953251,0.375644970475294,0.111414825670385,-0.117059377036371
2.0657047585248,0.340573138345449,0.406781249950213,0.0952726852023427,-0.108291092858905
2.07800062018268,0.375120518332447,0.44269644656257,0.0809644257138569,-0.0975455227971855
2.09029648184057,0.413758422883076,0.482795633583293,0.0683813773573763,-0.0851391617273795
2.10259234349845,0.455854411711367,0.526453996997742,0.0574109330991786,-0.0713846099983161
2.11488820515634,0.500755452724549,0.573024166515261,0.0479377626928604,-0.0565875919108268
2.12718406681422,0.547795537428143,0.621843757333329,0.0398449951013299,-0.041044137532941
2.13947992847211,0.596303382072055,0.672243027422471,0.0330153577778575,-0.0250379550877057
2.15177579012999,0.645610117400648,0.723552553740402,0.0273322620780472,-0.0088380185928374
2.16407165178788,0.6950568702691,0.775110830739012,0.0226808250465188,0.00730360738734813
2.17636751344577,0.744002142102059,0.826271695796511,0.0189488188900003,0.0231536870621309
