agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
8,0.977465433326039,8,0.406529805652912,9,2,phi_{9},8-9,4,0.015673141217739,0.00772097993169278,0.0372885065396302,0,0.954990513528677,0.992279020068307,0.977465433326039,0.406529805652912,9,8,1,phi_{8},1,9,8,0.999826011062941,0.0395727770548923
8,0.9844621012487,8,0.399279275311941,9,2,phi_{9},8-9,5,0.015673141217739,0.00772097993169278,0.0372885065396302,0,0.954990513528677,0.992279020068307,0.9844621012487,0.399279275311941,9,8,1,phi_{8},1,9,8,0.99988003219556,0.038866989639743
9,0.932991165284412,9,0.441192442640824,8,1,phi_{8},8-9,1,0.0165366776530598,0.00908500960467015,0.0216557717946899,0,0.96925921860064,0.99091499039533,0.932991165284412,0.441192442640824,8,9,2,phi_{9},2,8,9,0.999391224093012,0.0457466129584122
9,0.959441211971535,9,0.414142402690524,8,1,phi_{8},8-9,2,0.0165366776530598,0.00908500960467015,0.0216557717946899,0,0.96925921860064,0.99091499039533,0.959441211971535,0.414142402690524,8,9,2,phi_{9},2,8,9,0.999631523021208,0.0429418330290257
9,0.975795229007438,9,0.396779929492712,8,1,phi_{8},8-9,3,0.0165366776530598,0.00908500960467015,0.0216557717946899,0,0.96925921860064,0.99091499039533,0.975795229007438,0.396779929492712,8,9,2,phi_{9},2,8,9,0.999780099423054,0.041141543031702
9,0.98390252239303,9,0.387485443997032,8,1,phi_{8},8-9,4,0.0165366776530598,0.00908500960467015,0.0216557717946899,0,0.96925921860064,0.99091499039533,0.98390252239303,0.387485443997032,8,9,2,phi_{9},2,8,9,0.99985375426133,0.0401778111325937
9,0.989162204983131,9,0.3816307671676,8,1,phi_{8},8-9,5,0.0165366776530598,0.00908500960467015,0.0216557717946899,0,0.96925921860064,0.99091499039533,0.989162204983131,0.3816307671676,8,9,2,phi_{9},2,8,9,0.999901538528179,0.0395707480711563
9,0.807556575181545,9,0.610501468012006,10,2,phi_{10},9-10,1,0.0168718887744837,0.00497855137026642,0.0232009108833425,0,0.97182053774639,0.995021448629733,0.807556575181545,0.610501468012006,10,9,1,phi_{9},1,10,9,0.999041910523671,0.0503536982566499
9,0.895301729536113,9,0.554393501205117,10,2,phi_{10},9-10,2,0.0168718887744837,0.00497855137026642,0.0232009108833425,0,0.97182053774639,0.995021448629733,0.895301729536113,0.554393501205117,10,9,1,phi_{9},1,10,9,0.999478754282117,0.0457259556902181
9,0.934668771956891,9,0.526870327033505,10,2,phi_{10},9-10,3,0.0168718887744837,0.00497855137026642,0.0232009108833425,0,0.97182053774639,0.995021448629733,0.934668771956891,0.526870327033505,10,9,1,phi_{9},1,10,9,0.999674745125104,0.043455865150034
9,0.957471472424176,9,0.510091562990621,10,2,phi_{10},9-10,4,0.0168718887744837,0.00497855137026642,0.0232009108833425,0,0.97182053774639,0.995021448629733,0.957471472424176,0.510091562990621,10,9,1,phi_{9},1,10,9,0.999788269540761,0.0420719654118629
9,0.971266828132555,9,0.499817523406333,10,2,phi_{10},9-10,5,0.0168718887744837,0.00497855137026642,0.0232009108833425,0,0.97182053774639,0.995021448629733,0.971266828132555,0.499817523406333,10,9,1,phi_{9},1,10,9,0.999856950427827,0.0412245704157645
10,0.866509546156283,10,0.623552530178851,9,1,phi_{9},9-10,1,0.0168186630740569,0.00375020313118531,0.00217326576573292,0,0.994076531103082,0.996249796868815,0.866509546156283,0.623552530178851,9,10,2,phi_{10},2,9,10,0.999499383682012,0.0453687759311335
10,0.918404459221625,10,0.59359249387786,9,1,phi_{9},9-10,2,0.0168186630740569,0.00375020313118531,0.00217326576573292,0,0.994076531103082,0.996249796868815,0.918404459221625,0.59359249387786,9,10,2,phi_{10},2,9,10,0.999694000147482,0.0431889272286699
10,0.942036741285023,10,0.579093479467021,9,1,phi_{9},9-10,3,0.0168186630740569,0.00375020313118531,0.00217326576573292,0,0.994076531103082,0.996249796868815,0.942036741285023,0.579093479467021,9,10,2,phi_{10},2,9,10,0.999782626005673,0.0421340000105269
10,0.958914374145449,10,0.568704488232761,9,1,phi_{9},9-10,4,0.0168186630740569,0.00375020313118531,0.00217326576573292,0,0.994076531103082,0.996249796868815,0.958914374145449,0.568704488232761,9,10,2,phi_{10},2,9,10,0.999845920557273,0.0413781121059064
10,0.973043288478943,10,0.559862452631713,9,1,phi_{9},9-10,5,0.0168186630740569,0.00375020313118531,0.00217326576573292,0,0.994076531103082,0.996249796868815,0.973043288478943,0.559862452631713,9,10,2,phi_{10},2,9,10,0.999898906856047,0.0407347784450776
